serial,title_eng,title_chi,language,author,detailed_authorship,publisher,ISBN_1,ISSN_1,medium_1,price_1_currency,price_1,ISBN_2,ISSN_2,medium_2,price_2_currency,price_2,location_of_publication,year_of_publication,format,details,edition
2008-01533,ARCHITECTURE,建築智慧,English,,,PSI-Elite Education Limited,978-988-17316-2-3,,,$,238.00,,,,,,Hong Kong,2008,12 plates : col. ill. ; 28 cm.,(Encyclopedic knowledge - anthropology) Text in Chinese and English,
2008-01529,AUTOMOBILE,汽車,English,,,PSI-Elite Education Limited,978-988-17316-0-9,,,$,238.00,,,,,,Hong Kong,2008,12 plates : col. ill. ; 28 cm.,(Encyclopedic knowledge - zoology) Text in Chinese and English,
2008-02555,2006 manpower survey report : automobile industry,汽車業2006人力調查報告書,English,,,Vocational Training Council. Automobile Training Board,,,,,,,,,,,Hong Kong,2008,"vi, 70 p. : charts ; 30 cm.",Text in Chinese and English Unpriced (pbk.),
2008-02636,2007 manpower survey report : real estate services,房地產服務業2007年人力調查報告,English,,,Vocational Training Council. Real Estate Services Training Board,,,,,,,,,,,Hong Kong,2008,276 p. : charts ; 30 cm.,Text in Chinese and English Unpriced (pbk.),
2008-02635,The 13TH Hong Kong Independent Short Film & Video Awards,第十三屆香港獨立短片及錄像比賽,English,,,Hong Kong Arts Centre,978-962-7630-70-8,,pbk.,$,35.00,,,,,,Hong Kong,2008,108 p. : ill. ; 30 cm.,+ 1 audio-CD Text in Chinese and English,
2008-01952,ARABANES-OXLEY Act : planning & compliance,薩班斯-奧科斯利法案:籌劃與合規,English,Diane E. Ambler ... [et al.],,CCH Hong Kong Limited,978-988-99177-2-2,,,CNY,3800.00,,,,,,Hong Kong,2007,various pagings : 25 cm.,Text in simplified Chinese and English,
2008-01993,ABC MULTIACTIVE LIMITED abc Multiactive Limited annual report 2007,辰罡科技有限公司二零零七年年報,English,,,abc Multiactive Limited,,,,,,,,,,,Hong Kong,2008,"80, 80 p. ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2008-00833,ABHIDHARMA doctrines and controversies on perception,,English,Bhikkhu K.L. Dhammajoti,,The University of Hong Kong. Centre on Buddhist Studies,978-988-99296-2-6,,pbk.,$,150.00,,,,,,Hong Kong,2007,"vi, 201 p. ; 24 cm.",Includes bibliographical references and index Text in English and Pali,
2008-00887,"ACCA. F6, Taxation (HKG). Study text",,English,,,Accountancy Training Company,978-988-17206-7-2,,loose-leaf,,Unpriced,,,,,,Hong Kong,2008,284 p. ; 30 cm.,,2nd ed.
2008-00886,"ACCA. F8, Audit and assurance AA (HKG). Study text",,English,,,Accountancy Training Company,978-988-17206-6-5,,loose-leaf,,Unpriced,,,,,,Hong Kong,2008,343 p. ; 30 cm.,,2nd ed.
2008-00888,Revision Q & A set,,English,"ACCA. P1, The professional accountant",,Accountancy Training Company,978-988-17134-8-3,,loose-leaf,,Unpriced,,,,,,Hong Kong,2007,69 p. ; 30 cm.,,
2008-00884,"ACCA. P2, Corporate reporting. Study text",,English,,,Accountancy Training Company,978-988-17206-4-1,,loose-leaf,,Unpriced,,,,,,Hong Kong,2008,409 p. ; 30 cm.,,2nd ed.
2008-00883,"ACCA. P3, Business analysis. Self practice kit",,English,,,Accountancy Training Company,978-988-17206-2-7,,loose-leaf,,Unpriced,,,,,,Hong Kong,2008,292 p. ; 30 cm.,,2nd ed.
2008-00889,"ACCA. P3, Business analysis. Study text",,English,,,Accountancy Training Company,978-988-17206-9-6,,loose-leaf,,Unpriced,,,,,,Hong Kong,2008,444 p. ; 30 cm.,,2nd ed.
2008-00882,management APM. Revision notes,,English,"ACCA. P5, Advanced performance",,Accountancy Training Company,978-988-17206-1-0,,loose-leaf,,Unpriced,,,,,,Hong Kong,2007,90 p. ; 30 cm.,,
2008-00881,"ACCA. P6, Advanced taxation ATX. Study text",,English,,,Accountancy Training Company,978-988-17206-0-3,,loose-leaf,,Unpriced,,,,,,Hong Kong,2008,423 p. ; 30 cm.,,2nd ed.
2008-01832,An AFRICAN adventure,,English,,,"Education Bureau, Curriculum Development Institute, Native-speaking English Teacher Section",978-962-8967-13-1,,pbk.,,Unpriced,,,,,,Hong Kong,2007,29 p. : col. ill. ; 51 cm.,Includes index Glossary,
2008-01869,An AFRICAN adventure,,English,,,"Education Bureau, Curriculum Development Institute, Native-speaking English Teacher Section",978-962-8967-13-1,,pbk.,,Unpriced,,,,,,Hong Kong,2007,28 p. : col. ill. ; 21 cm.,Includes index Glossary,
2008-01992,AGAINST CHILD ABUSE LIMITED Against Child Abuse Ltd. annual report 2006-2007,防止虐待兒童會2006-2007年報,English,,,Against Child Abuse Limited,,,,,,,,,,,Hong Kong,2007,"116 p. : col. ill., charts ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2008-02143,AIM high in edexcel GCSE English,,English,"Roger Addison, Peter Huke, Pam Taylor",,Pearson Education Limited,978-1-84690-168-3,,pbk.,,Unpriced,,,,,,Essex,2008,"159 p. : col. ill., charts ; 30 cm.",Glossary,
2008-00612,ALI Baba and the 40 thieves,,English,,,Learn and Play Limited,978-962-8827-37-4,,,$,9.90,,,,,,Hong Kong,2008,unpaged : col. ill. ; 20 cm.,I can read ; Level 3,
2008-00610,ALICE in wonderland,,English,,,Learn and Play Limited,978-962-8827-38-1,,,$,9.90,,,,,,Hong Kong,2008,unpaged : col. ill. ; 20 cm.,I can read ; Level 3,
2008-00090,Who wants to be a star?,,English,"Julia Allen, Margaret Iggulden",,Pearson Education Limited,978-1-4058-6960-7,,pbk.,,Unpriced,978-1-4058-8073-2,,CD-Rom,,Unpriced,Essex,2008,16 p. : col. ill. ; 20 cm.,+ 1 CD-Rom (Penguin readers easystarts),
2008-00130,The ALPHA course : leaders’ training manual,,English,,,AAP Publishing Limited,978-988-99809-0-0,,pbk.,$,15.00,,,,,,Hong Kong,2007,37 p. ; 21 cm.,,
2008-00114,AMS PUBLIC TRANSPORT HOLDINGS LIMITED AMS Public Transport Holdings Limited interim report 2007-08,進智公共交通控股有限公司中期報告書2007-08,English,,,AMS Public Transport Holdings Limited,,,,,,,,,,,Hong Kong,2007,"26, 26 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
