serial,title_eng,title_chi,language,author,detailed_authorship,publisher,ISBN_1,ISSN_1,medium_1,price_1_currency,price_1,ISBN_2,ISSN_2,medium_2,price_2_currency,price_2,location_of_publication,year_of_publication,format,details,edition
2013-01412,100 best new houses,,English,,by Davinci Publishing,Hongkong Davinci Publishing Company Limited,978-988-18923-1-7,,,,Unpriced,,,,,,Hong Kong,2010,"405 p. : col. ill., plans ; 29 cm.",,
2013-01409,100 public architecture,,English,,by Davinci Publishing,Hongkong Davinci Publishing Company Limited,978-988-18923-2-4,,,,Unpriced,,,,,,Hong Kong,2010,"471 p. : ill. (chiefly col.), plans ; 32 cm.",,
2013-03208,100 top tables 2013,,English,Winnie Chung,,South China Morning Post Publishers Limited,978-962-8148-09-7,,,$,158.00,,,,,,Hong Kong,2013,174 p. : col. ill. ; 23 cm.,Includes index,
2013-01771,2011 manpower survey report : building and civil engineering industry,土木工程及建築業2011年人力調查報告,English,,,Vocational Training Council. Building and Civil Engineering Training Board,,,,,,,,,,,Hong Kong,2012,"xvii, 147 p. : charts ; 30 cm.",Text in Chinese and English Unpriced (pbk.),
2013-01774,2013 home journal buyer’s guide,美好家居指南,English,,,Edipresse Hong Kong Limited,,,,,,,,,,,Hong Kong,2012,224 p. : col. ill. ; 30 cm.,Includes index Text in Chinese and English $48.00 (pbk.),
2013-00983,4TH World Business Ethics Forum : theme : Corporate social responsibility and sustainability,第四屆世界商業倫理論壇:主題:社會企業責任及可持續發展,English,,,"Hong Kong Baptist University - Institute for Enterprise Development, School of Business",978-988-12089-1-0,,pbk.,,Unpriced,,,,,,Hong Kong,2012,"121 p. : maps, col. port ; 30 cm.",,
2013-02494,5 in five : bedmar & shi,,English,,,Oscar Riera Ojeda Publishers Limited,978-988-15125-6-7,,,USD,30.00,,,,,,Hong Kong,2013,463 p. : col. ill. ; 23 cm.,Includes bibliographical references,
2013-03115,ABERDEEN KAI-FONG WELFARE ASSOCIATION SOCIAL SERVICE Aberdeen Kai-fong Welfare Association Social Service 2011-2012 annual report,香港仔坊會社會服務2011-2012年報,English,,,Aberdeen Kai-fong Welfare Association Social Service,,,,,,,,,,,Hong Kong,2013,92 p. : col. ill. ; 30 cm.,Text in Chinese and English Unpriced (pbk.),
2013-00027,"ABSTRACT book of the 23rd International Congress of Theoretical and Applied Mechanics : August 19-24, 2012, Beijing, China",,English,,"edited by Yilong Bai, Jianxiang Wang, Daining Fang",China Science Literature Publishing House,978-988-16022-3-7,,pbk.,,Unpriced,,,,,,Hong Kong,2012,354 p. ; 29 cm.,Includes index,
2013-00243,ACHIEVE mastery in English tips & tests. Key stage 1. Volume 1,,English,Wong Maeli,,Times Publishing (Hong Kong) Limited,978-988-8060-93-1,,pbk.,,Unpriced,,,,,,Hong Kong,2012,"iv, 139 p. : col. ill. ; 29 cm.",,
2013-00244,ACHIEVE mastery in English tips & tests. Key stage 1. Volume 2,,English,Wong Maeli,,Times Publishing (Hong Kong) Limited,978-988-8129-52-2,,pbk.,,Unpriced,,,,,,Hong Kong,2012,"iv, 131 p. : col. ill. ; 29 cm.",,
2013-01397,ACHIEVE mastery in English tips & tests. Key stage 2. Volume 2,,English,Wong Maeli,,Times Publishing (Hong Kong) Limited,978-988-8109-00-5,,pbk.,,Unpriced,,,,,,Hong Kong,2013,"iv, 147 p. : col. ill. ; 29 cm.",,
2013-00479,Against all odds,,English,Tanya Advani ... [et al.],,Elephant Community Press Limited,978-988-16801-3-6,,pbk.,$,100.00,,,,,,Hong Kong,2012,218 p. ; 21 cm.,,
2013-01496,AESOP Aesop’s fables,伊索寓言,English,,Aesop ; edited by L.K. Chan,Students - Kingdom Publishing Limited,978-988-16035-3-1,,set,$,960.00,,,,,,Hong Kong,2012,"91, 90 p. ; 19 cm.",(Bilingual collection of literature) Text in Chinese and English,
2013-01525,AGREEMENT & schedule of conditions of building contract : for use in the Hong Kong Special Administrative Region,,English,,,The Hong Kong Institute of Surveyors,988-98402-5-1,,pbk.,$,120.00,,,,,,Hong Kong,2006,"99, xiii p. ; 30 cm.",Includes index,
2013-00646,AGTECH HOLDINGS LIMITED AGTech Holdings Limited third quarterly report 2012,亞博科技控股有限公司第三季度業績報告2012,English,,,AGTech Holdings Limited,,,,,,,,,,,Hong Kong,2012,"22, 22 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2013-00629,ALCO HOLDINGS LIMITED Alco Holdings Limited interim report 2012,Alco Holdings Limited二零一二年中期報告,English,,,Alco Holdings Limited,,,,,,,,,,,Hong Kong,2012,"24, 24 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2013-01254,AMS PUBLIC TRANSPORT HOLDINGS LIMITED AMS Public Transport Holdings Limited interim report 2012/2013,進智公共交通控股有限公司中期報告書2012,English,2013,,AMS Public Transport Holdings Limited,,,,,,,,,,,Hong Kong,2012,"30, 30 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2013-01424,"ANDERSEN, Hans Christian The ugly duckling",,English,"Hans Christian Andersen, Robert Ingpen",,Michael Neugebauer (Publishing) Limited,978-988-15127-3-4,,,GBP,6.99,,,,,,Hong Kong,2012,[35] p. : col. ill. ; 29 cm.,,
2013-01867,ANNOTATED ordinances of Hong Kong : consolidated table of cases 2012. Vol. 1. A-L,,English,,,LexisNexis,978-988-8147-16-8,,set,$,5400.00,978-988-8147-17-5,,,$,Unpriced,Hong Kong,2012,unpaged ; 25 cm.,,
